text,node_hits
LIRAGLUTIDE TREATS OBESITY,obesity
disease ontology identifier for central diabetes insipidus is doid:350,central diabetes insipidus
"Xeroderma pigmentosum, group G is not associated with Gene ERCC5",xeroderma pigmentosum
cherubism is not a autosomal dominant disease,cherubism
MASA SYNDROME (DISORDER) IS NOT ASSOCIATED WITH GENE L1CAM,MASA syndrome
CONGENITAL GENERALIZED LIPODYSTROPHY TYPE 2 ASSOCIATES GENE BSCL2,congenital generalized lipodystrophy type 2
PRASTERONE TREATS OBESITY,obesity
CONGENITAL CONTRACTURAL ARACHNODACTYLY ASSOCIATES GENE FBN2,congenital contractural arachnodactyly
PAROXYSMAL NONKINESIGENIC DYSKINESIA 1 IS NOT ASSOCIATED WITH GENE PNKD,paroxysmal nonkinesigenic dyskinesia 1
Acute intermittent porphyria is not associated with Gene HMBS,acute intermittent porphyria
Disease ontology identifier for gray platelet syndrome is DOID:0111044,gray platelet syndrome
Hyperargininemia is not associated with Gene ARG1,hyperargininemia
DISEASE ONTOLOGY IDENTIFIER FOR MARFAN SYNDROME IS DOID:0060055,Marfan syndrome
FACTOR IX TREATS HEMOPHILIA B,hemophilia B
DISEASE ONTOLOGY IDENTIFIER FOR MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 1 IS DOID:0080141,mosaic variegated aneuploidy syndrome 1
noonan syndrome associates gene kras,Noonan syndrome
L-2-HYDROXYGLUTARIC ACIDURIA associates Gene L2HGDH,L-2-hydroxyglutaric aciduria
AZITHROMYCIN TREATS CYSTIC FIBROSIS,cystic fibrosis
disease ontology identifier for smith-magenis syndrome is doid:12271,Smith-Magenis syndrome
COFFIN-SIRIS SYNDROME IS A SYNDROMIC DISEASE,Coffin-Siris syndrome
antithrombin iii deficiency is not associated with gene serpinc1,antithrombin III deficiency
DEHYDROEPIANDROSTERONE TREATS OBESITY,obesity
MULIBREY NANISM IS A SYNDROMIC DISEASE,mulibrey nanism
cleidocranial dysplasia associates gene runx2,cleidocranial dysplasia
ASPARTYLGLUCOSAMINURIA IS NOT ASSOCIATED WITH GENE AGA,aspartylglucosaminuria
Brachydactyly type C is not associated with Gene GDF5,brachydactyly type C
Wolman Disease associates Gene LIPA,Wolman disease
adenine phosphoribosyltransferase deficiency associates gene aprt,adenine phosphoribosyltransferase deficiency
Neurofibromatosis 2 is not associated with Gene NF2,neurofibromatosis 2
HARTNUP DISEASE IS A INBORN DISORDER OF AMINO ACID TRANSPORT,Hartnup disease
campomelic dysplasia associates gene sox9,campomelic dysplasia
DOYNE HONEYCOMB RETINAL DYSTROPHY associates Gene EFEMP1,Doyne honeycomb retinal dystrophy
enhanced S-cone syndrome is not a vitreoretinal degeneration,enhanced S-cone syndrome
melanoma associates Gene BRAF,melanoma
congenital contractural arachnodactyly is not a congenital nervous system disorder,congenital contractural arachnodactyly
CONGENITAL AMEGAKARYOCYTIC THROMBOCYTOPENIA IS NOT ASSOCIATED WITH GENE MPL,congenital amegakaryocytic thrombocytopenia
LEIGH DISEASE ASSOCIATES GENE SURF1,Leigh disease
cystic fibrosis is a respiratory system disorder,cystic fibrosis
Neurofibromatosis 1 associates Gene NF1,neurofibromatosis 1
"Robinow syndrome, autosomal recessive associates Gene ROR2",Robinow syndrome
polycythemia vera is not associated with gene jak2,polycythemia vera
PSEUDOPSEUDOHYPOPARATHYROIDISM ASSOCIATES GENE GNAS,pseudopseudohypoparathyroidism
Rothmund-Thomson syndrome is not associated with Gene RECQL4,Rothmund-Thomson syndrome
Alveolar rhabdomyosarcoma associates Gene PAX3,alveolar rhabdomyosarcoma
ellis-van creveld syndrome associates gene evc2,Ellis-Van Creveld syndrome
Coffin-Lowry syndrome is not a X-linked syndromic intellectual disability,Coffin-Lowry syndrome
CHERUBISM ASSOCIATES GENE SH3BP2,cherubism
agalsidase alfa treats fabry disease,Fabry disease
disease ontology identifier for lesch-nyhan syndrome is doid:1919,Lesch-Nyhan syndrome
disease ontology identifier for autosomal dominant hypophosphatemic rickets is doid:0050948,autosomal dominant hypophosphatemic rickets
nail-patella syndrome associates gene lmx1b,nail-patella syndrome
mulibrey nanism is not associated with gene trim37,mulibrey nanism
MYOCLONIC DYSTONIA IS NOT ASSOCIATED WITH GENE SGCE,myoclonic dystonia
pseudoachondroplasia associates gene comp,pseudoachondroplasia
EVEROLIMUS TREATS TUBEROUS SCLEROSIS,tuberous sclerosis
DiGeorge syndrome is a congenital T-cell immunodeficiency,DiGeorge syndrome
INSULIN TREATS OBESITY,obesity
disease ontology identifier for mastocytosis is doid:0060768,mastocytosis
bevacizumab treats hereditary hemorrhagic telangiectasia,hereditary hemorrhagic telangiectasia
Disease ontology identifier for Farber lipogranulomatosis is DOID:0050464,Farber lipogranulomatosis
DENYS-DRASH SYNDROME IS NOT ASSOCIATED WITH GENE WT1,Denys-Drash syndrome
DISEASE ONTOLOGY IDENTIFIER FOR NORRIE DISEASE IS DOID:0060599,Norrie disease
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP E ASSOCIATES GENE DDB2",xeroderma pigmentosum
Disease ontology identifier for popliteal pterygium syndrome is DOID:0050756,popliteal pterygium syndrome
Ornithine carbamoyltransferase deficiency associates Gene OTC,ornithine carbamoyltransferase deficiency
Wiskott-Aldrich Syndrome is not associated with Gene WAS,Wiskott-Aldrich syndrome
Tangier Disease is not associated with Gene ABCA1,Tangier disease
disease ontology identifier for omenn syndrome is doid:3633,Omenn syndrome
LONG QT SYNDROME 1 ASSOCIATES GENE KCNQ1,long QT syndrome 1
allan-herndon-dudley syndrome (ahds) is not associated with gene slc16a2,Allan-Herndon-Dudley syndrome
ETHYLMALONIC ENCEPHALOPATHY IS NOT ASSOCIATED WITH GENE ETHE1,ethylmalonic encephalopathy
Hemophilia B is not associated with Gene F9,hemophilia B
Mowat-Wilson syndrome is not associated with Gene ZEB2,Mowat-Wilson syndrome
HARTNUP DISEASE IS NOT ASSOCIATED WITH GENE SLC6A19,Hartnup disease
Disease ontology identifier for campomelic dysplasia is DOID:0050463,campomelic dysplasia
"HEMOCHROMATOSIS, TYPE 4 ASSOCIATES GENE SLC40A1",hemochromatosis
disease ontology identifier for rothmund-thomson syndrome is doid:2732,Rothmund-Thomson syndrome
Autosomal Recessive Polycystic Kidney Disease associates Gene PKHD1,autosomal recessive polycystic kidney disease
adenine phosphoribosyltransferase deficiency is a inborn disorder of amino acid metabolism,adenine phosphoribosyltransferase deficiency
Angelman syndrome is a syndromic disease,Angelman syndrome
Tay-Sachs disease is not a eye degenerative disorder,Tay-Sachs disease
spinocerebellar ataxia type 5 associates gene sptbn2,spinocerebellar ataxia type 5
rapp-hodgkin syndrome is a autosomal dominant disease,Rapp-Hodgkin syndrome
sandhoff disease is not associated with gene hexb,Sandhoff disease
johanson-blizzard syndrome associates gene ubr1,Johanson-Blizzard syndrome
maple syrup urine disease associates gene dbt,maple syrup urine disease
laron syndrome is a autosomal recessive disease,Laron syndrome
popliteal pterygium syndrome is not associated with gene irf6,popliteal pterygium syndrome
PITT-HOPKINS SYNDROME is not associated with Gene TCF4,Pitt-Hopkins syndrome
Alkaptonuria associates Gene HGD,alkaptonuria
Hereditary hemorrhagic telangiectasia associates Gene ENG,hereditary hemorrhagic telangiectasia
MASTOCYTOSIS IS NOT ASSOCIATED WITH GENE KIT,mastocytosis
macrolide antibiotics treats cystic fibrosis,cystic fibrosis
Very long chain acyl-CoA dehydrogenase deficiency is not associated with Gene ACADVL,very long chain acyl-CoA dehydrogenase deficiency
KUFOR-RAKEB SYNDROME associates Gene ATP13A2,Kufor-Rakeb syndrome
protein-tyrosine kinase inhibitor treats sarcoma,sarcoma
autosomal dominant hypophosphatemic rickets associates gene fgf23,autosomal dominant hypophosphatemic rickets
WAARDENBURG SYNDROME TYPE 1 ASSOCIATES GENE PAX3,Waardenburg syndrome type 1
Cystic Fibrosis associates Gene CFTR,cystic fibrosis
WHIM syndrome is not associated with Gene CXCR4,WHIM syndrome
tuberous sclerosis is a autosomal dominant disease,tuberous sclerosis
CHOROIDEREMIA IS NOT ASSOCIATED WITH GENE CHM,choroideremia
smith-lemli-opitz syndrome is not associated with gene dhcr7,Smith-Lemli-Opitz syndrome
LATE-ONSET RETINAL DEGENERATION (disorder) associates Gene C1QTNF5,late-onset retinal degeneration
ibuprofen treats cystic fibrosis,cystic fibrosis
JUVENILE POLYPOSIS SYNDROME ASSOCIATES GENE SMAD4,juvenile polyposis syndrome
alpha-galactosidase treats fabry disease,Fabry disease
pembrolizumab treats melanoma,melanoma
PIEBALDISM ASSOCIATES GENE KIT,piebaldism
"Charcot-Marie-Tooth Disease, Type Ib associates Gene MPZ",Charcot-Marie-Tooth disease
DiGeorge Syndrome is not associated with Gene TBX1,DiGeorge syndrome
Fibrodysplasia Ossificans Progressiva associates Gene ACVR1,fibrodysplasia ossificans progressiva
Omenn Syndrome associates Gene RAG2,Omenn syndrome
Juvenile Spinal Muscular Atrophy associates Gene SMN1,juvenile spinal muscular atrophy
antibiotics treats cystic fibrosis,cystic fibrosis
HEREDITARY HEMORRHAGIC TELANGIECTASIA IS A AUTOSOMAL DOMINANT DISEASE,hereditary hemorrhagic telangiectasia
Fabry Disease associates Gene GLA,Fabry disease
GYRATE ATROPHY ASSOCIATES GENE OAT,gyrate atrophy
"Bernard-Soulier syndrome is a inherited bleeding disorder, platelet-type",Bernard-Soulier syndrome
VITELLIFORM MACULAR DYSTROPHY ASSOCIATES GENE BEST1,vitelliform macular dystrophy
Gray Platelet Syndrome is not associated with Gene NBEAL2,gray platelet syndrome
Coffin-Siris syndrome associates Gene ARID1B,Coffin-Siris syndrome
