disease_name,disease_id
serum amyloid A amyloidosis,DOID:0080936
erythroleukemia,DOID:0080916
spondylometaphyseal dysplasia Sedaghatian type,DOID:0112298
cerebrooculofacioskeletal syndrome 2,DOID:0080912
bilateral frontoparietal polymicrogyria,DOID:0080922
cerebrooculofacioskeletal syndrome 3,DOID:0080913
sarcosinemia,DOID:0112307
cerebrooculofacioskeletal syndrome 1,DOID:0080911
polymicrogyria,DOID:0080918
Cockayne syndrome A,DOID:0080907
Mahvash Disease,DOID:0112306
spermatogenic failure 53,DOID:0112279
primary ovarian insufficiency 19,DOID:0112278
cerebrooculofacioskeletal syndrome 4,DOID:0080914
bilateral perisylvian polymicrogyria,DOID:0080924
Cockayne syndrome B,DOID:0080908
spondyloepiphyseal dysplasia Stanescu type,DOID:0112281
"spondyloepiphyseal dysplasia, sensorineural hearing loss, intellectual developmental disorder, and Leber congenital amaurosis",DOID:0112290
spondylometaphyseal dysplasia with corneal dystrophy,DOID:0112303
primary localized cutaneous amyloidosis 1,DOID:0080930
developmental and epileptic encephalopathy 93,DOID:0112275
neurodevelopmental disorder with involuntary movements,DOID:0112276
spondyloepiphyseal dysplasia,DOID:0112280
spondyloepiphyseal dysplasia Kondo-Fu type,DOID:0112283
bilateral parasagittal parieto-occipital polymicrogyria,DOID:0080923
spondylometaphyseal dysplasia Megarbane-Dagher-Melike type,DOID:0112304
wild-type amyloidosis,DOID:0080937
axial spondylometaphyseal dysplasia,DOID:0112299
cytochrome P450 oxidoreductase deficiency,DOID:0080925
spondylometaphyseal dysplasia with cone-rod dystrophy,DOID:0112300
immunodeficiency 79,DOID:0112277
dialysis-related amyloidosis,DOID:0080928
spondyloepiphyseal dysplasia tarda,DOID:0112284
spondylometaphyseal dysplasia corner fracture type,DOID:0112297
immunoglobulin light chain amyloidosis,DOID:0080933
7q11.23 duplication syndrome,DOID:0080926
primary localized cutaneous amyloidosis 3,DOID:0080932
spondyloepiphyseal dysplasia Kimberley type,DOID:0112282
primary localized cutaneous amyloidosis 2,DOID:0080931
visual impairment and progressive phthisis bulbi,DOID:0070356
cerebellar ataxia type 42,DOID:0111742
cerebellar ataxia type 47,DOID:0111743
cerebellar ataxia type 41,DOID:0111744
cerebellar ataxia type 43,DOID:0111745
cerebellar ataxia type 48,DOID:0111746
mitochondrial complex V (ATP synthase) deficiency nuclear type 6,DOID:0111749
cataract 47,DOID:0070353
stress-induced childhood-onset neurodegeneration with variable ataxia and seizures,DOID:0070352
nephrotic syndrome type 20,DOID:0070357
Y-linked deafness 2,DOID:0111758
cataract 48,DOID:0070354
X-linked panhypopituitarism,DOID:0111779
"46,XY sex reversal 1",DOID:0111778
"46,XY sex reversal 9",DOID:0111770
"46,XY sex reversal 8",DOID:0111773
"46,XY sex reversal 3",DOID:0111772
"46,XY sex reversal 7",DOID:0111774
"46,XY sex reversal 2",DOID:0111777
"46,XY sex reversal 5",DOID:0111776
otopalatodigital syndrome spectrum disorder,DOID:0111782
otopalatodigital syndrome type 1,DOID:0111783
urolithiasis,DOID:0080653
calcium oxalate nephrolithiasis,DOID:0080652
multisystem proteinopathy,DOID:070355
Melnick-Needles syndrome,DOID:0111788
Frank-Ter Haar syndrome,DOID:0111789
otopalatodigital syndrome type 2,DOID:0111784
frontometaphyseal dysplasia,DOID:0111785
frontometaphyseal dysplasia 1,DOID:0111786
frontometaphyseal dysplasia 2,DOID:0111787
TARP syndrome,DOID:0111780
Waisman syndrome,DOID:0111781
X-linked properdin deficiency,DOID:0111768
"46,XY sex reversal 6",DOID:0111769
X-linked VACTERL association,DOID:0111766
X-linked thrombocytopenia with beta-thalassemia,DOID:0111767
"46,XX sex reversal 4",DOID:0111764
X-linked cardiac valvular dysplasia,DOID:0111765
"46,XX sex reversal",DOID:0111760
X-linked deafness 6,DOID:0111740
X-linked deafness 5,DOID:0111741
familial episodic pain syndrome,DOID:0111728
