,disease_in_question,refDisease,compoundGroundTruth,text
0,atypical hemolytic-uremic syndrome,hemolytic-uremic syndrome,"['ECULIZUMAB', 'GALASOMITE', 'RAVULIZUMAB']","If atypical hemolytic-uremic syndrome resembles hemolytic-uremic syndrome, what compounds that treat hemolytic-uremic syndrome can be repurposed to treat atypical hemolytic-uremic syndrome?"
1,dengue hemorrhagic fever,hemophagocytic lymphohistiocytosis,"['Methylprednisolone', 'Ruxolitinib', 'GLOBULIN, IMMUNE', 'Zanubrutinib', 'cyclosporin A', 'Dexamethasone', 'PEGASPARGASE', 'Doxorubicin', 'Etoposide', 'EMAPALUMAB']","If dengue hemorrhagic fever resembles hemophagocytic lymphohistiocytosis, what compounds that treat hemophagocytic lymphohistiocytosis can be repurposed to treat dengue hemorrhagic fever?"
2,gastrointestinal system cancer,hepatobiliary disease,"['Dexmedetomidine', 'Oxyphencyclimine', 'Otilonium', 'Pipenzolate', 'Propantheline', 'Hyoscyamine', 'Methylhomatropine', 'Trimebutine', 'Glycopyrronium bromide', 'Clidinium', 'BELLADONNA', 'Methantheline', 'Isometheptene', 'Isopropamide', 'Metoclopramide', 'Alverine', 'Azithromycin', 'Dicyclomine', 'Ciprofloxacin', 'Mosapride', 'Butylscopolamine', 'Propulsid', 'Oxyphenonium', 'Cimetropium', 'Mepenzolate', 'Fibrin', 'Piperidolate', 'CHOLERA VACCINE', '[1-(Dimethylamino)-2-methylpropan-2-yl] 2-hydroxy-2,2-diphenylacetate', 'Cinitapride', 'Phloroglucinol', 'Tiropramide', 'Drotaverine', 'Hexocyclium', 'Itopride', 'Papaverine', 'Mebeverine', 'Clebopride', 'Domperidone', 'Alizapride', 'Methylatropine', 'Methscopolamine', 'Atropine', 'Foscarnet', 'ZINC ion', 'Tridihexethyl', 'Fenoverine', 'Bromopride', 'Alosetron', 'Poldine', 'Pinaverium', 'Esomeprazole', 'Diphemanil', 'Imipramine']","If gastrointestinal system cancer resembles hepatobiliary disease, what compounds that treat hepatobiliary disease can be repurposed to treat gastrointestinal system cancer?"
3,angiodysplasia,hereditary hemorrhagic telangiectasia,"['BEVACIZUMAB', 'Propranolol', 'Mupirocin', 'Sodium Chloride', 'Tranexamic acid']","If angiodysplasia resembles hereditary hemorrhagic telangiectasia, what compounds that treat hereditary hemorrhagic telangiectasia can be repurposed to treat angiodysplasia?"
4,post-thrombotic syndrome,hereditary lymphedema I,"['ZINC hydrate', 'Fibrin']","If post-thrombotic syndrome resembles hereditary lymphedema I, what compounds that treat hereditary lymphedema I can be repurposed to treat post-thrombotic syndrome?"
5,beta thalassemia,hypogonadism,"['GONADOTROPIN, CHORIONIC', 'Estradiol cypionate', 'Methyltestosterone', 'Dehydroepiandrosterone', 'Bromocriptine', 'CORIFOLLITROPIN ALFA', 'Equilin sulfate', 'Estradiol', 'Norethindrone acetate', 'MENOTROPINS', 'Testosterone undecanoate', 'CHORIOGONADOTROPIN ALFA', 'Dutasteride', 'Fluoxymesterone', 'ESTROGENS, ESTERIFIED', 'Testosterone', 'Testosterone enanthate', 'FOLLITROPIN', 'Estrone sulfate', 'Cholecalciferol', 'Letrozole', 'Estradiol valerate', '2-[4-(2-chloro-1,2-diphenylethenyl)phenoxy]-N,N-diethylethanamine 2-hydroxypropane-1,2,3-tricarboxylate', 'Testosterone cypionate', 'insulin', 'Gonadorelin hydrochloride']","If beta thalassemia resembles hypogonadism, what compounds that treat hypogonadism can be repurposed to treat beta thalassemia?"
6,nephrogenic diabetes insipidus,hypokalemic periodic paralysis,['Dichlorphenamide'],"If nephrogenic diabetes insipidus resembles hypokalemic periodic paralysis, what compounds that treat hypokalemic periodic paralysis can be repurposed to treat nephrogenic diabetes insipidus?"
7,secondary hyperparathyroidism,hypophosphatemia,"['BUROSUMAB', 'Potassium dihydrogen phosphate']","If secondary hyperparathyroidism resembles hypophosphatemia, what compounds that treat hypophosphatemia can be repurposed to treat secondary hyperparathyroidism?"
8,empty sella syndrome,hypopituitarism,['SOMATROPIN'],"If empty sella syndrome resembles hypopituitarism, what compounds that treat hypopituitarism can be repurposed to treat empty sella syndrome?"
9,colitis,inflammatory bowel disease,"['IRON ISOMALTOSIDE 1000', 'Methane', 'Cholecalciferol']","If colitis resembles inflammatory bowel disease, what compounds that treat inflammatory bowel disease can be repurposed to treat colitis?"
