,disease_1,Compounds,Diseases,text
0,Alagille syndrome,"['Odevixibat', 'Maralixibat']","['optic disk drusen', 'intrahepatic cholestasis', 'Moyamoya disease', 'Williams-Beuren syndrome', 'pulmonary valve stenosis', 'xanthomatosis']",What compounds treat 'Alagille syndrome' and what diseases resemble 'Alagille syndrome'?
1,Bardet-Biedl syndrome,['Setmelanotide'],"['retinitis pigmentosa-deafness syndrome', 'situs inversus', 'Usher syndrome', 'Laurence-Moon syndrome', 'hypothalamic disease', 'Froelich syndrome', 'fundus dystrophy', 'Alstrom syndrome', 'retinal degeneration', 'primary ciliary dyskinesia', 'autosomal dominant polycystic kidney disease', 'Usher syndrome type 3', 'atrioventricular septal defect', 'polydactyly', 'Usher syndrome type 2', 'retinitis pigmentosa', 'Leber congenital amaurosis']",What compounds treat 'Bardet-Biedl syndrome' and what diseases resemble 'Bardet-Biedl syndrome'?
2,Ehlers-Danlos syndrome,"['Celiprolol', 'Irbesartan', 'Enzastaurin']","['Loeys-Dietz syndrome', 'mitral valve prolapse', 'osteogenesis imperfecta', 'sigmoid disease', 'Menkes disease', 'pseudoxanthoma elasticum', 'Marfan syndrome', 'intestinal perforation', 'angioid streaks', 'aortic aneurysm', 'connective tissue disease', 'coronary aneurysm', 'cutis laxa', 'collagen disease', 'osteogenesis imperfecta type 1', 'postural orthostatic tachycardia syndrome', 'periventricular nodular heterotopia', 'dental pulp calcification', 'progeria']",What compounds treat 'Ehlers-Danlos syndrome' and what diseases resemble 'Ehlers-Danlos syndrome'?
3,Ewing sarcoma,"['Treosulfan', 'Busulfan', 'Medphalan', 'Melphalan', 'Vincristine', 'Etoposide', 'Modafinil', 'Ifosfamide', 'Zoledronic acid', 'Dactinomycin']","['cerebral primitive neuroectodermal tumor', 'embryonal cancer', 'medulloepithelioma', 'retroperitoneal cancer', 'germ cell and embryonal cancer', 'familial retinoblastoma', 'peripheral nervous system neoplasm', 'orbital cancer', 'paranasal sinus benign neoplasm', 'nephroblastoma', 'skull cancer', 'mandibular cancer', 'benign giant cell tumor', 'retinal cancer', 'femoral cancer', 'paranasal sinus cancer', 'cranial nerve malignant neoplasm', 'small cell sarcoma', 'chondrosarcoma', 'muscle cancer', 'long bone adamantinoma', 'adamantinoma', 'synovial sarcoma', 'rhabdomyosarcoma', 'alveolar rhabdomyosarcoma', 'maxillary cancer', 'nervous system cancer', 'spinal cancer', 'thoracic cancer', 'jaw cancer', 'epidural spinal canal neoplasm', 'embryonal tumor with multilayered rosettes, C19MC-altered', 'maxillary sinus benign neoplasm', 'chordoma', 'neuroectodermal tumor', 'olfactory neuroblastoma', 'germ cell cancer', 'retinoblastoma', 'medulloblastoma']",What compounds treat 'Ewing sarcoma' and what diseases resemble 'Ewing sarcoma'?
4,Fabry disease,"['AGALSIDASE BETA', 'Migalastat', 'AGALSIDASE ALFA', 'Lucerastat', 'Venglustat']","['familial hypertrophic cardiomyopathy', 'anhidrosis', 'lipid storage disease', 'angiokeratoma', 'glycogen storage disease II', 'lysosomal storage disease', 'erythromelalgia', 'fucosidosis', 'hypohidrosis', 'beta-mannosidosis', 'priapism', 'cerebral amyloid angiopathy', 'proteinuria', 'restrictive cardiomyopathy', 'lipid metabolism disorder', 'mucopolysaccharidosis I', 'GM1 gangliosidosis', ""Gaucher's disease"", 'mucopolysaccharidosis Ih/s', 'MELAS syndrome', 'mucopolysaccharidosis Ih']",What compounds treat 'Fabry disease' and what diseases resemble 'Fabry disease'?
5,GM2 gangliosidosis,['Miglustat'],"['lateral sclerosis', 'gangliosidosis', 'motor neuron disease', 'GM1 gangliosidosis', 'anterior horn cell disease', 'Tay-Sachs disease']",What compounds treat 'GM2 gangliosidosis' and what diseases resemble 'GM2 gangliosidosis'?
6,Gaucher's disease,"['Eliglustat', 'IMIGLUCERASE', 'Miglustat', 'TALIGLUCERASE ALFA', 'VELAGLUCERASE ALFA', 'Venglustat']","['Niemann-Pick disease', 'lipid storage disease', 'aspartylglucosaminuria', 'Alpers-Huttenlocher syndrome', 'glycogen storage disease II', 'lysosomal storage disease', 'early myoclonic encephalopathy', 'Fabry disease', 'Balo concentric sclerosis', 'osteonecrosis', 'sphingolipidosis', 'bone marrow disease', 'metachromatic leukodystrophy', 'apraxia', 'progressive myoclonus epilepsy', 'hypersplenism', 'Tay-Sachs disease', 'dentatorubral-pallidoluysian atrophy', 'plasma cell neoplasm', 'mucopolysaccharidosis I', 'Krabbe disease', 'GM1 gangliosidosis', 'mucopolysaccharidosis Ih/s', 'progressive myoclonus epilepsy 4', 'splenic disease', 'mucopolysaccharidosis Ih']",What compounds treat 'Gaucher's disease' and what diseases resemble 'Gaucher's disease'?
7,Hirschsprung's disease,"['4-[(2Z)-2-[(2E,4E,6Z)-7-[1,1-dimethyl-3-(4-sulfobutyl)benzo[e]indol-3-ium-2-yl]hepta-2,4,6-trienylidene]-1,1-dimethylbenzo[e]indol-3-yl]butane-1-sulfonic acid']","['intestinal atresia', 'Clostridium difficile colitis', 'intestinal volvulus', 'multiple endocrine neoplasia', 'osteochondrodysplasia', 'multiple epiphyseal dysplasia', 'anorectal stricture', 'paralytic ileus', 'central sleep apnea', 'sigmoid disease', 'short bowel syndrome', 'piebaldism', 'intestinal perforation', ""Waardenburg's syndrome"", 'toxic megacolon', 'multiple endocrine neoplasia type 2A', 'intestinal pseudo-obstruction', 'Melnick-Needles syndrome', 'megacolon', 'multiple endocrine neoplasia type 2B', 'ileus', 'imperforate anus', 'Waardenburg syndrome type 1', 'microcephaly', 'gastroschisis']",What compounds treat 'Hirschsprung's disease' and what diseases resemble 'Hirschsprung's disease'?
8,Kawasaki disease,"['Aspirin', 'GLOBULIN, IMMUNE', 'Prednisolone', 'ANAKINRA', 'POLYETHYLENE GLYCOL', 'INFLIXIMAB']","['pharyngoconjunctival fever', 'aseptic meningitis', 'erythema infectiosum', 'coronary thrombosis', 'exanthem', 'lymphadenitis', 'Henoch-Schoenlein purpura', 'pyuria', 'coronary aneurysm', 'polyarteritis nodosa', 'gallbladder disease']",What compounds treat 'Kawasaki disease' and what diseases resemble 'Kawasaki disease'?
9,Klinefelter syndrome,"['Testosterone', 'Dehydroepiandrosterone', 'Testosterone undecanoate']","['male breast cancer', 'familial male-limited precocious puberty', 'Edwards syndrome', 'embryonal cancer', 'Sertoli cell-only syndrome', 'germ cell and embryonal cancer', 'central precocious puberty', 'hypopituitarism', '46,XY sex reversal', 'Kallmann syndrome', '46 XX gonadal dysgenesis', 'Sheehan syndrome', 'gonadal dysgenesis', 'gynecomastia', 'azoospermia', 'Prader-Willi syndrome', 'Turner syndrome', 'Leydig cell tumor', 'oligospermia', 'testicular disease', 'hypospadias', 'myotonic dystrophy type 1', 'fragile X syndrome', 'disorder of sexual development', 'hermaphroditism', 'Bloch-Sulzberger syndrome', 'pseudohermaphroditism', 'infant gynecomastia', 'eunuchism', 'germinoma', 'germ cell cancer', 'cryptorchidism']",What compounds treat 'Klinefelter syndrome' and what diseases resemble 'Klinefelter syndrome'?
