disease_name,gene_name,gwas_pvalue,question,question_perturbed,neo4j_rag_answer,total_tokens_used,neo4j_rag_answer_perturbed,total_tokens_used_perturbed
childhood-onset asthma,RORA,2e-37,What is the GWAS p-value for the association between childhood-onset asthma and RORA?,What is the GWAS p-value for the association between childhood-onset asthma and rora?,The GWAS p-value for the association between childhood-onset asthma and RORA is 2e-37.,8021,"I'm sorry, but I don't have the information to answer that question.",8001
skin benign neoplasm,SHANK2,5e-08,What is the GWAS p-value for the association between SHANK2 and skin benign neoplasm?,What is the GWAS p-value for the association between shank2 and skin benign neoplasm?,The GWAS p-value for the association between SHANK2 and skin benign neoplasm is 5e-08.,8028,"I'm sorry, but I don't know the answer.",8010
hypertrophic cardiomyopathy,AMBRA1,1e-16,Is hypertrophic cardiomyopathy associated with AMBRA1?,Is hypertrophic cardiomyopathy associated with ambra1?,"Yes, hypertrophic cardiomyopathy is associated with AMBRA1.",8002,"I'm sorry, but I don't have the information to answer that question.",7994
lung adenocarcinoma,CYP2A6,8e-11,What is the GWAS p-value for the association between CYP2A6 and lung adenocarcinoma?,What is the GWAS p-value for the association between cyp2a6 and lung adenocarcinoma?,The GWAS p-value for the association between CYP2A6 and lung adenocarcinoma is 8e-11.,8040,"I'm sorry, but I don't have the information to answer that question.",8023
idiopathic generalized epilepsy,RYR2,3e-09,Is idiopathic generalized epilepsy associated with RYR2?,Is idiopathic generalized epilepsy associated with ryr2?,"Yes, idiopathic generalized epilepsy is associated with RYR2.",7997,"I'm sorry, but I don't have the information to answer that question.",7991
gastric fundus cancer,PLCE1,2e-22,What is the GWAS p-value for the association between PLCE1 and gastric fundus cancer?,What is the GWAS p-value for the association between plce1 and gastric fundus cancer?,The GWAS p-value for the association between PLCE1 and gastric fundus cancer is 2e-22.,8026,"I'm sorry, but I don't have the information to answer that question.",8005
hypertrophic cardiomyopathy,VTI1A,4e-12,Is VTI1A associated with hypertrophic cardiomyopathy?,Is vti1a associated with hypertrophic cardiomyopathy?,"I'm sorry, but I don't have the information to answer that question.",7989,"I'm sorry, but I don't have the information to answer that question.",7989
peptic ulcer disease,TTC33,5e-25,Is peptic ulcer disease associated with TTC33?,Is peptic ulcer disease associated with ttc33?,"Yes, peptic ulcer disease is associated with TTC33.",7992,"I'm sorry, but I don't have the information to answer that question.",7991
multiple sclerosis,TSPAN31,2e-09,Is multiple sclerosis associated with TSPAN31?,Is multiple sclerosis associated with tspan31?,"Yes, multiple sclerosis is associated with TSPAN31.",7987,"I'm sorry, but I don't have the information to answer that question.",7985
large intestine cancer,ABHD12B,7e-09,What is the GWAS p-value for the association between ABHD12B and large intestine cancer?,What is the GWAS p-value for the association between abhd12b and large intestine cancer?,The GWAS p-value for the association between ABHD12B and large intestine cancer is 7e-09.,8024,"I'm sorry, but I don't have the information to answer that question.",8009
prostate carcinoma,ESR2,7e-12,What is the GWAS p-value for the association between ESR2 and prostate carcinoma?,What is the GWAS p-value for the association between esr2 and prostate carcinoma?,The GWAS p-value for the association between ESR2 and prostate carcinoma is 7e-12.,8017,"I'm sorry, but I don't have the information to answer that question.",7998
inflammatory bowel disease,SH2B3,1e-09,What is the GWAS p-value for the association between inflammatory bowel disease and SH2B3?,What is the GWAS p-value for the association between inflammatory bowel disease and sh2b3?,The GWAS p-value for the association between inflammatory bowel disease and SH2B3 is 1e-09.,8025,"I'm sorry, but I don't know the answer.",8008
mastocytosis,FTCD,1e-09,What is the GWAS p-value for the association between mastocytosis and FTCD?,What is the GWAS p-value for the association between mastocytosis and ftcd?,The GWAS p-value for the association between mastocytosis and FTCD is 1e-09.,8020,"I'm sorry, but I don't know the answer.",7996
major depressive disorder,FURIN,3e-19,What is the GWAS p-value for the association between FURIN and major depressive disorder?,What is the GWAS p-value for the association between furin and major depressive disorder?,The GWAS p-value for the association between FURIN and major depressive disorder is 3e-19.,8020,"I'm sorry, but I don't have the information to answer that question.",7997
testicular cancer,TERT,8e-15,Is testicular cancer associated with TERT?,Is testicular cancer associated with tert?,"Yes, there is an association between testicular cancer and TERT.",7988,"I'm sorry, but I don't have the information to answer that question.",7983
type 2 diabetes mellitus,SLC24A3,3e-17,Is SLC24A3 associated with type 2 diabetes mellitus?,Is slc24a3 associated with type 2 diabetes mellitus?,"Yes, the gene SLC24A3, also known as solute carrier family 24 member 3, located on chromosome 20, is associated with type 2 diabetes mellitus.",8198,"I'm sorry, but I don't have the information to answer that question.",7994
celiac disease,PLEK,8e-09,Is celiac disease associated with PLEK?,Is celiac disease associated with plek?,"Yes, celiac disease is associated with PLEK. PLEK, or pleckstrin, is a gene located on chromosome 2. This association is based on data from the Disease Ontology and Entrez Gene sources.",8418,"I'm sorry, but I don't have the information to answer that question.",7979
endometrial carcinoma,CPVL,2e-08,What is the GWAS p-value for the association between endometrial carcinoma and CPVL?,What is the GWAS p-value for the association between endometrial carcinoma and cpvl?,,7855,,7855
allergic disease,ZNF652,1e-15,Is allergic disease associated with ZNF652?,Is allergic disease associated with znf652?,"Yes, the allergic disease is associated with ZNF652, which is a zinc finger protein.",8298,"I'm sorry, but I don't have the information to answer that question.",7980
systemic lupus erythematosus,ELF3,4e-09,What is the GWAS p-value for the association between systemic lupus erythematosus and ELF3?,What is the GWAS p-value for the association between systemic lupus erythematosus and elf3?,The GWAS p-value for the association between systemic lupus erythematosus and ELF3 is 4e-09.,8034,"I'm sorry, but I don't have the information to answer that question.",8010
