question,label,llm_answer
enhanced S-cone syndrome is not a vitreoretinal degeneration,False,"{
  ""answer"": ""False""
}"
metronidazole treats crohn's disease,True,"{
  ""answer"": ""True""
}"
KLEEFSTRA SYNDROME 1 is not associated with Gene EHMT1,False,"{
  ""answer"": ""False""
}"
Juvenile polyposis syndrome associates Gene SMAD4,True,"{
  ""answer"": ""True""
}"
Disease ontology identifier for congenital generalized lipodystrophy type 2 is DOID:10588,False,"{
  ""answer"": ""True""
}"
Disease ontology identifier for Marfan syndrome is DOID:0060055,False,"{
  ""answer"": ""False""
}"
cystic fibrosis is a respiratory system disorder,True,"{
  ""answer"": ""True""
}"
alpha-Mannosidosis associates Gene MAN2B1,True,"{
  ""answer"": ""True""
}"
Wolcott-Rallison syndrome associates Gene EIF2AK3,True,"{
  ""answer"": ""True""
}"
Neurofibromatosis 2 is not associated with Gene NF2,False,"{
  ""answer"": ""False""
}"
Angelman syndrome is a syndromic disease,True,"{
  ""answer"": ""True""
}"
colchicine treats familial mediterranean fever,True,"{
  ""answer"": ""True""
}"
Marfan Syndrome associates Gene FBN1,True,"{
  ""answer"": ""True""
}"
Mowat-Wilson syndrome is a syndromic intellectual disability,True,"{
  ""answer"": ""True""
}"
mulibrey nanism is a syndromic disease,True,"{
  ""answer"": ""True""
}"
Disease ontology identifier for pheochromocytoma is DOID:14692,False,"{
  ""answer"": ""False""
}"
Tangier Disease is not associated with Gene ABCA1,False,"{
  ""answer"": ""False""
}"
Disease ontology identifier for central diabetes insipidus is DOID:350,False,"{
  ""answer"": ""False""
}"
Ulnar-mammary syndrome is not associated with Gene TBX3,False,"{
  ""answer"": ""False""
}"
bevacizumab treats hereditary hemorrhagic telangiectasia,True,"{
  ""answer"": ""True""
}"
Liver carcinoma is not associated with Gene MET,False,"{
  ""answer"": ""False""
}"
Antithrombin III Deficiency is not associated with Gene SERPINC1,False,"{
  ""answer"": ""False""
}"
Mastocytosis is not associated with Gene KIT,False,"{
  ""answer"": ""False""
}"
Disease ontology identifier for Farber lipogranulomatosis is DOID:0050464,True,"{
  ""answer"": ""True""
}"
Familial Mediterranean Fever associates Gene MEFV,True,"{
  ""answer"": ""True""
}"
Disease ontology identifier for Wiskott-Aldrich syndrome is DOID:9169,True,"{
  ""answer"": ""True""
}"
Tay-Sachs disease is not a eye degenerative disorder,False,"{
  ""answer"": ""True""
}"
ibuprofen treats cystic fibrosis,True,"{
  ""answer"": ""False""
}"
Juvenile Myoclonic Epilepsy is not associated with Gene EFHC1,False,"{
  ""answer"": ""False""
}"
Costello syndrome (disorder) is not associated with Gene HRAS,False,"{
  ""answer"": ""False""
}"
Very long chain acyl-CoA dehydrogenase deficiency is not associated with Gene ACADVL,False,"{
  ""answer"": ""False""
}"
Wolman disease is a lysosomal acid lipase deficiency,True,"{
  ""answer"": ""True""
}"
Fibrodysplasia Ossificans Progressiva associates Gene ACVR1,True,"{
  ""answer"": ""True""
}"
Canavan Disease associates Gene ASPA,True,"{
  ""answer"": ""True""
}"
Chediak-Higashi syndrome is a congenital nervous system disorder,True,"{
  ""answer"": ""False""
}"
Hereditary hemorrhagic telangiectasia associates Gene ENG,True,"{
  ""answer"": ""True""
}"
Lafora Disease is not associated with Gene NHLRC1,False,"{
  ""answer"": ""False""
}"
Pheochromocytoma is not associated with Gene RET,False,"{
  ""answer"": ""False""
}"
"Xeroderma pigmentosum, group B associates Gene ERCC3",True,"{
  ""answer"": ""True""
}"
Acute intermittent porphyria is not associated with Gene HMBS,False,"{
  ""answer"": ""False""
}"
melphalan treats melanoma,True,"{
  ""answer"": ""True""
}"
piebaldism is a autosomal dominant disease,True,"{
  ""answer"": ""True""
}"
vitelliform macular dystrophy is not a macular degeneration,False,"{
  ""answer"": ""False""
}"
Spinocerebellar Ataxia Type 5 associates Gene SPTBN2,True,"{
  ""answer"": ""True""
}"
Disease ontology identifier for Pelizaeus-Merzbacher disease is DOID:5688,False,"{
  ""answer"": ""True""
}"
"Robinow syndrome, autosomal recessive associates Gene ROR2",True,"{
  ""answer"": ""True""
}"
Disease ontology identifier for Loeys-Dietz syndrome is DOID:0060745,False,"{
  ""answer"": ""True""
}"
Cystic Fibrosis associates Gene CFTR,True,"{
  ""answer"": ""True""
}"
Greig cephalopolysyndactyly syndrome associates Gene GLI3,True,"{
  ""answer"": ""True""
}"
alkaptonuria is not a disorder of tyrosine metabolism,False,"{
  ""answer"": ""False""
}"
Timothy syndrome associates Gene CACNA1C,True,"{
  ""answer"": ""True""
}"
Unverricht-Lundborg syndrome is a movement disorder,True,"{
  ""answer"": ""True""
}"
Denys-Drash syndrome is a autosomal dominant disease,True,"{
  ""answer"": ""False""
}"
factor ix treats hemophilia b,True,"{
  ""answer"": ""True""
}"
adrenal cortex hormones treats crohn's disease,True,"{
  ""answer"": ""True""
}"
Mucopolysaccharidosis VI associates Gene ARSB,True,"{
  ""answer"": ""True""
}"
"HEMOCHROMATOSIS, TYPE 4 associates Gene SLC40A1",True,"{
  ""answer"": ""True""
}"
"Charcot-Marie-Tooth Disease, Type Ib associates Gene MPZ",True,"{
  ""answer"": ""True""
}"
Disease ontology identifier for Timothy syndrome is DOID:0060173,True,"{
  ""answer"": ""True""
}"
Denys-Drash Syndrome is not associated with Gene WT1,False,"{
  ""answer"": ""False""
}"
Cherubism associates Gene SH3BP2,True,"{
  ""answer"": ""True""
}"
PITT-HOPKINS SYNDROME is not associated with Gene TCF4,False,"{
  ""answer"": ""False""
}"
Greig cephalopolysyndactyly syndrome is not a syndromic disease,False,"{
  ""answer"": ""False""
}"
Paroxysmal Nonkinesigenic Dyskinesia 1 is not associated with Gene PNKD,False,"{
  ""answer"": ""False""
}"
Enhanced S-Cone Syndrome is not associated with Gene NR2E3,False,"{
  ""answer"": ""False""
}"
Canavan disease is a inborn aminoacylase deficiency,True,"{
  ""answer"": ""False""
}"
Episodic ataxia type 2 (disorder) is not associated with Gene CACNA1A,False,"{
  ""answer"": ""False""
}"
Aniridia is not associated with Gene PAX6,False,"{
  ""answer"": ""False""
}"
Congenital contractural arachnodactyly associates Gene FBN2,True,"{
  ""answer"": ""True""
}"
Muenke Syndrome associates Gene FGFR3,True,"{
  ""answer"": ""True""
}"
Carney complex is a autosomal dominant disease,True,"{
  ""answer"": ""True""
}"
Borjeson-Forssman-Lehmann syndrome is not a X-linked syndromic intellectual disability,False,"{
  ""answer"": ""False""
}"
Johanson-Blizzard syndrome associates Gene UBR1,True,"{
  ""answer"": ""True""
}"
MASA SYNDROME (disorder) is not associated with Gene L1CAM,False,"{
  ""answer"": ""False""
}"
Autosomal dominant hypophosphatemic rickets associates Gene FGF23,True,"{
  ""answer"": ""True""
}"
Acrodermatitis enteropathica associates Gene SLC39A4,True,"{
  ""answer"": ""True""
}"
Rothmund-Thomson syndrome is not associated with Gene RECQL4,False,"{
  ""answer"": ""False""
}"
Cleidocranial Dysplasia associates Gene RUNX2,True,"{
  ""answer"": ""True""
}"
LONG QT SYNDROME 3 associates Gene SCN5A,True,"{
  ""answer"": ""True""
}"
Infantile hypophosphatasia associates Gene ALPL,True,"{
  ""answer"": ""True""
}"
acrodermatitis enteropathica is not a inborn metal metabolism disorder,False,"{
  ""answer"": ""False""
}"
Ataxia Telangiectasia associates Gene ATM,True,"{
  ""answer"": ""True""
}"
alpha-galactosidase treats fabry disease,True,"{
  ""answer"": ""True""
}"
Laron syndrome is a autosomal recessive disease,True,"{
  ""answer"": ""True""
}"
Piebaldism associates Gene KIT,True,"{
  ""answer"": ""True""
}"
Pfeiffer Syndrome associates Gene FGFR2,True,"{
  ""answer"": ""True""
}"
"Bernard-Soulier syndrome is a inherited bleeding disorder, platelet-type",True,"{
  ""answer"": ""True""
}"
Burkitt Lymphoma is not associated with Gene MYC,False,"{
  ""answer"": ""False""
}"
Ornithine carbamoyltransferase deficiency associates Gene OTC,True,"{
  ""answer"": ""True""
}"
Nail-Patella Syndrome associates Gene LMX1B,True,"{
  ""answer"": ""True""
}"
Tetralogy of Fallot associates Gene ZFPM2,True,"{
  ""answer"": ""True""
}"
Hartnup Disease is not associated with Gene SLC6A19,False,"{
  ""answer"": ""False""
}"
Disease ontology identifier for fibrodysplasia ossificans progressiva is DOID:13374,True,"{
  ""answer"": ""False""
}"
familial Mediterranean fever is not a primary immunodeficiency due to a genetic defect in innate immunity,False,"{
  ""answer"": ""False""
}"
Hemophilia B is not associated with Gene F9,False,"{
  ""answer"": ""False""
}"
Rapp-Hodgkin syndrome is a autosomal dominant disease,True,"{
  ""answer"": ""True""
}"
Borjeson-Forssman-Lehmann syndrome is not associated with Gene PHF6,False,"{
  ""answer"": ""False""
}"
Multiple Endocrine Neoplasia Type 2b associates Gene RET,True,"{
  ""answer"": ""True""
}"
Choroideremia is not associated with Gene CHM,False,"{
  ""answer"": ""False""
}"
Wolman Disease associates Gene LIPA,True,"{
  ""answer"": ""True""
}"
Adenine phosphoribosyltransferase deficiency associates Gene APRT,True,"{
  ""answer"": ""True""
}"
Holt-Oram syndrome is not associated with Gene TBX5,False,"{
  ""answer"": ""False""
}"
tetralogy of fallot is not a hereditary disease,False,"{
  ""answer"": ""False""
}"
Disease ontology identifier for mosaic variegated aneuploidy syndrome 1 is DOID:0080141,True,"{
  ""answer"": ""True""
}"
hemophilia B is a hemorrhagic disease,True,"{
  ""answer"": ""True""
}"
fatal familial insomnia is not a insomnia,False,"{
  ""answer"": ""False""
}"
Disease ontology identifier for mastocytosis is DOID:0060768,False,"{
  ""answer"": ""True""
}"
osteosarcoma is a sarcoma,True,"{
  ""answer"": ""True""
}"
immune checkpoint inhibitors treats melanoma,True,"{
  ""answer"": ""True""
}"
Johanson-Blizzard syndrome is a congenital nervous system disorder,True,"{
  ""answer"": ""False""
}"
Achondroplasia is not a osteochondrodysplasia,False,"{
  ""answer"": ""False""
}"
KUFOR-RAKEB SYNDROME associates Gene ATP13A2,True,"{
  ""answer"": ""True""
}"
Loeys-Dietz Syndrome associates Gene TGFBR1,True,"{
  ""answer"": ""True""
}"
Disease ontology identifier for Rothmund-Thomson syndrome is DOID:2732,True,"{
  ""answer"": ""True""
}"
Angelman Syndrome is not associated with Gene UBE3A,False,"{
  ""answer"": ""False""
}"
biotinidase deficiency is not a multiple carboxylase deficiency,False,"{
  ""answer"": ""False""
}"
6-mercaptopurine treats crohn's disease,True,"{
  ""answer"": ""True""
}"
Wolcott-Rallison syndrome is a syndromic disease,True,"{
  ""answer"": ""True""
}"
Disease ontology identifier for spinocerebellar ataxia type 5 is DOID:0050882,False,"{
  ""answer"": ""True""
}"
Pseudopseudohypoparathyroidism associates Gene GNAS,True,"{
  ""answer"": ""True""
}"
alveolar rhabdomyosarcoma is not a rhabdomyosarcoma,False,"{
  ""answer"": ""False""
}"
