disease_name,gene_name,gwas_pvalue,question,question_perturbed,kg_rag_answer,total_tokens_used,kg_rag_answer_perturbed,total_tokens_used_perturbed
childhood-onset asthma,RORA,2e-37,What is the GWAS p-value for the association between childhood-onset asthma and RORA?,What is the GWAS p-value for the association between childhood-onset asthma and rora?,The GWAS p-value for the association between childhood-onset asthma and RORA is 2e-37 (Provenance: GWAS).,1866,The GWAS p-value for the association between childhood-onset asthma and RORA is 2e-37 (Provenance: GWAS).,1866
skin benign neoplasm,SHANK2,5e-08,What is the GWAS p-value for the association between SHANK2 and skin benign neoplasm?,What is the GWAS p-value for the association between shank2 and skin benign neoplasm?,The GWAS p-value for the association between SHANK2 and skin benign neoplasm is 5e-08. The provenance of this association is GWAS.,3661,The GWAS p-value for the association between SHANK2 and skin benign neoplasm is 5e-08. (Provenance: GWAS),3659
hypertrophic cardiomyopathy,AMBRA1,1e-16,Is hypertrophic cardiomyopathy associated with AMBRA1?,Is hypertrophic cardiomyopathy associated with ambra1?,"Yes, hypertrophic cardiomyopathy is associated with the gene AMBRA1. The provenance of this association is GWAS (Genome-Wide Association Studies).",4716,"Yes, hypertrophic cardiomyopathy is associated with the gene AMBRA1. The provenance of this association is GWAS (Genome-Wide Association Studies).",4716
lung adenocarcinoma,CYP2A6,8e-11,What is the GWAS p-value for the association between CYP2A6 and lung adenocarcinoma?,What is the GWAS p-value for the association between cyp2a6 and lung adenocarcinoma?,The GWAS p-value for the association between CYP2A6 and lung adenocarcinoma is 8e-11. This information is provided by GWAS.,4737,The GWAS p-value for the association between CYP2A6 and lung adenocarcinoma is 8e-11. This information is provided by GWAS.,4737
idiopathic generalized epilepsy,RYR2,3e-09,Is idiopathic generalized epilepsy associated with RYR2?,Is idiopathic generalized epilepsy associated with ryr2?,"Yes, idiopathic generalized epilepsy is associated with the gene RYR2. The provenance of this association is GWAS.",1937,"Yes, the disease idiopathic generalized epilepsy is associated with the gene RYR2. The provenance of this association is GWAS.",1939
gastric fundus cancer,PLCE1,2e-22,What is the GWAS p-value for the association between PLCE1 and gastric fundus cancer?,What is the GWAS p-value for the association between plce1 and gastric fundus cancer?,The GWAS p-value for the association between PLCE1 and gastric fundus cancer is 2e-22. The provenance of this information is GWAS.,462,The GWAS p-value for the association between PLCE1 and gastric fundus cancer is 2e-22. The provenance of this information is GWAS.,462
hypertrophic cardiomyopathy,VTI1A,4e-12,Is VTI1A associated with hypertrophic cardiomyopathy?,Is vti1a associated with hypertrophic cardiomyopathy?,"Yes, the gene VTI1A is associated with the disease hypertrophic cardiomyopathy. The provenance of this association is GWAS.",4888,"Yes, the gene VTI1A is associated with the disease hypertrophic cardiomyopathy. The provenance of this association is GWAS. {'sources': ['GWAS'], 'gwas_pvalue': 4e-12}",4907
peptic ulcer disease,TTC33,5e-25,Is peptic ulcer disease associated with TTC33?,Is peptic ulcer disease associated with ttc33?,"Yes, peptic ulcer disease is associated with the gene TTC33. The provenance of this association is GWAS.",3188,"Yes, peptic ulcer disease is associated with the gene TTC33. The provenance of this association is GWAS.",3188
multiple sclerosis,TSPAN31,2e-09,Is multiple sclerosis associated with TSPAN31?,Is multiple sclerosis associated with tspan31?,"Yes, multiple sclerosis is associated with the gene TSPAN31. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 2e-09.",3434,"Yes, multiple sclerosis is associated with the gene TSPAN31. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 2e-09, indicating a statistically significant association.",3440
large intestine cancer,ABHD12B,7e-09,What is the GWAS p-value for the association between ABHD12B and large intestine cancer?,What is the GWAS p-value for the association between abhd12b and large intestine cancer?,The GWAS p-value for the association between ABHD12B and large intestine cancer is 7e-09 (Provenance: GWAS).,1841,The GWAS p-value for the association between ABHD12B and large intestine cancer is 7e-09 (Provenance: GWAS).,1841
prostate carcinoma,ESR2,7e-12,What is the GWAS p-value for the association between ESR2 and prostate carcinoma?,What is the GWAS p-value for the association between esr2 and prostate carcinoma?,The GWAS p-value for the association between ESR2 and prostate carcinoma is 7e-12 (Provenance: GWAS).,4155,The GWAS p-value for the association between ESR2 and prostate carcinoma is 7e-12 (Provenance: GWAS).,4155
inflammatory bowel disease,SH2B3,1e-09,What is the GWAS p-value for the association between inflammatory bowel disease and SH2B3?,What is the GWAS p-value for the association between inflammatory bowel disease and sh2b3?,The GWAS p-value for the association between inflammatory bowel disease and SH2B3 is 1e-09.,5681,The GWAS p-value for the association between inflammatory bowel disease and SH2B3 is 1e-09.,5681
mastocytosis,FTCD,1e-09,What is the GWAS p-value for the association between mastocytosis and FTCD?,What is the GWAS p-value for the association between mastocytosis and ftcd?,The GWAS p-value for the association between mastocytosis and FTCD is 1e-09. The provenance of this information is GWAS.,865,The GWAS p-value for the association between mastocytosis and FTCD is 1e-09. The provenance of this information is GWAS.,865
major depressive disorder,FURIN,3e-19,What is the GWAS p-value for the association between FURIN and major depressive disorder?,What is the GWAS p-value for the association between furin and major depressive disorder?,The GWAS p-value for the association between FURIN and major depressive disorder is 3e-19. (Provenance: GWAS),3017,The GWAS p-value for the association between FURIN and major depressive disorder is 3e-19. (Provenance: GWAS),3017
testicular cancer,TERT,8e-15,Is testicular cancer associated with TERT?,Is testicular cancer associated with tert?,"Yes, testicular cancer is associated with the gene TERT. The provenance of this association is GWAS (Genome-Wide Association Studies) as per the context provided.",9626,"Yes, testicular cancer is associated with the gene TERT. The provenance of this association is GWAS (Genome-Wide Association Studies) as per the context provided.",9626
type 2 diabetes mellitus,SLC24A3,3e-17,Is SLC24A3 associated with type 2 diabetes mellitus?,Is slc24a3 associated with type 2 diabetes mellitus?,"Yes, the gene SLC24A3 is associated with type 2 diabetes mellitus. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 3e-17, indicating a statistically significant association.",9336,"Yes, the gene SLC24A3 is associated with type 2 diabetes mellitus. The provenance of this association is GWAS (Genome-Wide Association Studies) with a p-value of 3e-17, indicating a statistically significant association.",9336
celiac disease,PLEK,8e-09,Is celiac disease associated with PLEK?,Is celiac disease associated with plek?,"Yes, celiac disease is associated with the gene PLEK. The provenance of this association is GWAS. {'sources': ['GWAS'], 'gwas_pvalue': 8e-09}",1385,"Yes, celiac disease is associated with the gene PLEK. The provenance of this association is GWAS. {'sources': ['GWAS'], 'gwas_pvalue': 8e-09}",1385
endometrial carcinoma,CPVL,2e-08,What is the GWAS p-value for the association between endometrial carcinoma and CPVL?,What is the GWAS p-value for the association between endometrial carcinoma and cpvl?,The GWAS p-value for the association between endometrial carcinoma and CPVL is 2e-08. The provenance of this association is GWAS.,1621,The GWAS p-value for the association between endometrial carcinoma and CPVL is 2e-08. The provenance of this association is GWAS.,1621
allergic disease,ZNF652,1e-15,Is allergic disease associated with ZNF652?,Is allergic disease associated with znf652?,"Yes, the allergic disease is associated with the gene ZNF652. The provenance of this association is GWAS (Genome-Wide Association Studies). The GWAS p-value for this association is 1e-15, indicating a statistically significant association.",3230,"Yes, the allergic disease is associated with the gene ZNF652. The provenance of this association is GWAS (Genome-Wide Association Studies). The GWAS p-value for this association is 1e-15, indicating a statistically significant association.",3230
systemic lupus erythematosus,ELF3,4e-09,What is the GWAS p-value for the association between systemic lupus erythematosus and ELF3?,What is the GWAS p-value for the association between systemic lupus erythematosus and elf3?,The GWAS p-value for the association between systemic lupus erythematosus and ELF3 is 4e-09. (Provenance: GWAS),6331,The GWAS p-value for the association between systemic lupus erythematosus and ELF3 is 4e-09. (Provenance: GWAS),6331
