disease_name,gene_name,gwas_pvalue,question,neo4j_rag_answer,total_tokens_used
childhood-onset asthma,RORA,2e-37,What is the GWAS p-value for the association between childhood-onset asthma and RORA?,The GWAS p-value for the association between childhood-onset asthma and RORA is 2e-37.,8015
skin benign neoplasm,SHANK2,5e-08,What is the GWAS p-value for the association between SHANK2 and skin benign neoplasm?,The GWAS p-value for the association between SHANK2 and skin benign neoplasm is 5e-08.,8022
hypertrophic cardiomyopathy,AMBRA1,1e-16,Is hypertrophic cardiomyopathy associated with AMBRA1?,"Yes, hypertrophic cardiomyopathy is associated with AMBRA1.",7996
lung adenocarcinoma,CYP2A6,8e-11,What is the GWAS p-value for the association between CYP2A6 and lung adenocarcinoma?,The GWAS p-value for the association between CYP2A6 and lung adenocarcinoma is 8e-11.,8034
idiopathic generalized epilepsy,RYR2,3e-09,Is idiopathic generalized epilepsy associated with RYR2?,"Yes, idiopathic generalized epilepsy is associated with RYR2.",7992
gastric fundus cancer,PLCE1,2e-22,What is the GWAS p-value for the association between PLCE1 and gastric fundus cancer?,The GWAS p-value for the association between PLCE1 and gastric fundus cancer is 2e-22.,8020
hypertrophic cardiomyopathy,VTI1A,4e-12,Is VTI1A associated with hypertrophic cardiomyopathy?,"I'm sorry, but I don't have the information to answer that question.",7983
peptic ulcer disease,TTC33,5e-25,Is peptic ulcer disease associated with TTC33?,"Yes, peptic ulcer disease is associated with TTC33, which is a gene located on chromosome 5 and is also known as tetratricopeptide repeat domain 33.",8317
multiple sclerosis,TSPAN31,2e-09,Is multiple sclerosis associated with TSPAN31?,"Yes, multiple sclerosis is associated with TSPAN31.",7981
large intestine cancer,ABHD12B,7e-09,What is the GWAS p-value for the association between ABHD12B and large intestine cancer?,,7857
prostate carcinoma,ESR2,7e-12,What is the GWAS p-value for the association between ESR2 and prostate carcinoma?,The GWAS p-value for the association between ESR2 and prostate carcinoma is 7e-12.,8011
inflammatory bowel disease,SH2B3,1e-09,What is the GWAS p-value for the association between inflammatory bowel disease and SH2B3?,The GWAS p-value for the association between inflammatory bowel disease and SH2B3 is 1e-09.,8019
mastocytosis,FTCD,1e-09,What is the GWAS p-value for the association between mastocytosis and FTCD?,The GWAS p-value for the association between mastocytosis and FTCD is 1e-09.,8014
major depressive disorder,FURIN,3e-19,What is the GWAS p-value for the association between FURIN and major depressive disorder?,The GWAS p-value for the association between FURIN and major depressive disorder is 3e-19.,8014
testicular cancer,TERT,8e-15,Is testicular cancer associated with TERT?,"Yes, testicular cancer is associated with TERT.",7981
