disease_1,disease_2,central_nodes_groundTruth,text,llm_answer,context_volume
optic atrophy,psammomatous meningioma,"['arachnoid mater', 'internal carotid artery', 'sphenoidal sinus', 'optic tract', 'cranial nerve II', 'ophthalmic artery', 'sphenoid bone', 'skull', 'sella turcica', 'optic chiasma', 'orbit of skull']",What are the Anatomy that are commonly associated with both optic atrophy and psammomatous meningioma?,"{""Nodes"": [""orbit of skull""]}",50
tongue disease,Crouzon syndrome,"['mandible', 'foramen magnum', 'lower jaw region', 'face', 'masticatory muscle']",What are the Anatomy that are commonly associated with both tongue disease and Crouzon syndrome?,"{""Nodes"": [""musculature of neck"", ""muscle of neck"", ""face""]}",50
Dandy-Walker syndrome,optic atrophy,"['skull', 'arachnoid mater']",What are the Anatomy that are commonly associated with both Dandy-Walker syndrome and optic atrophy?,"{""Nodes"": [""brain"", ""cerebellum""]}",50
goiter,Human papillomavirus infectious disease,"['Voice Disorders', 'Respiratory Sounds']",What are the Symptoms that are commonly associated with both goiter and Human papillomavirus infectious disease?,"{""Nodes"":[""Voice Disorders"", ""Respiratory Sounds"", ""Dysphonia""]}",50
insulinoma,congenital diaphragmatic hernia,['gastric juice'],What are the Anatomy that are commonly associated with both insulinoma and congenital diaphragmatic hernia?,"{""Nodes"": [""pancreas""]}",50
disease of anatomical entity,primary hypoalphalipoproteinemia 1,"['APOA1', 'ABCA1']",What are the Genes that are commonly associated with both disease of anatomical entity and primary hypoalphalipoproteinemia 1?,"{""Nodes"": [""ABCA1""]}",50
cholesteatoma,adamantinous craniopharyngioma,"['cerebellopontine angle', 'sella turcica', 'orbit of skull', 'basicranium', 'skull', 'ethmoid sinus']",What are the Anatomy that are commonly associated with both cholesteatoma and adamantinous craniopharyngioma?,"{""Nodes"":[""cerebellopontine angle"", ""skull"", ""basicranium"", ""orbit of skull"", ""ethmoid sinus""]}",50
Charcot-Marie-Tooth disease,alcohol use disorder,"['Aging, Premature', 'Tremor', 'Auditory Perceptual Disorders']",What are the Symptoms that are commonly associated with both Charcot-Marie-Tooth disease and alcohol use disorder?,"{""Nodes"": [""Sensation Disorders"", ""Ataxia"", ""Auditory Perceptual Disorders"", ""Tremor"", ""Aging, Premature""]}",50
exotropia,Crouzon syndrome,"['orbit of skull', 'oculomotor muscle']",What are the Anatomy that are commonly associated with both exotropia and Crouzon syndrome?,"{""Nodes"":[""orbit of skull""]}",50
macrocytic anemia,colonic benign neoplasm,"['Diarrhea', 'Confusion']",What are the Symptoms that are commonly associated with both macrocytic anemia and colonic benign neoplasm?,"{""Nodes"": [""Diarrhea"", ""Confusion""]}",50
disease of anatomical entity,nephrogenic diabetes insipidus,"['AQP2', 'AVPR2']",What are the Genes that are commonly associated with both disease of anatomical entity and nephrogenic diabetes insipidus?,"{""Nodes"":[""AQP2"", ""BBS1"", ""AVPR2"", ""VIPAS39"", ""ARL6"", ""CCDC28B""]}",50
hemochromatosis type 1,primary sclerosing cholangitis,"['Abdominal Pain', 'Ascites', 'Abnormality of the skin', 'Vascular skin abnormality', 'Abnormality of the lymphatic system', 'Abnormality of the genitourinary system', 'Hepatomegaly', 'Osteoporosis', 'Neoplasm of the gastrointestinal tract', 'Neoplasm of the liver', 'Diabetes mellitus', 'Pleural effusion', 'Pain', 'Congestive heart failure', 'Hepatocellular carcinoma', 'Abnormality of the liver', 'Hepatic fibrosis', 'Abnormality of the gastrointestinal tract', 'Abnormal lung morphology', 'Splenomegaly', 'Edema', 'Abnormality of the cardiovascular system', 'Abnormality of the endocrine system', 'Neoplasm', 'Telangiectasia']",What are the Symptoms that are commonly associated with both hemochromatosis type 1 and primary sclerosing cholangitis?,"{""Nodes"": [""Abnormality of the liver"", ""Hepatic fibrosis"", ""Abnormality of the gastrointestinal tract"", ""Hepatomegaly"", ""Abdominal Pain"", ""Abnormality of the cardiovascular system"", ""Splenomegaly"", ""Neoplasm of the gastrointestinal tract""]}",50
