question,label,llm_answer
enhanced S-cone syndrome is not a vitreoretinal degeneration,False,"  {
""answer"": ""True""
}"
metronidazole treats crohn's disease,True,"  {
""answer"": True
}"
KLEEFSTRA SYNDROME 1 is not associated with Gene EHMT1,False,"  {
""answer"": ""False""
}"
Juvenile polyposis syndrome associates Gene SMAD4,True,"  {
""answer"": ""True""
}"
Disease ontology identifier for congenital generalized lipodystrophy type 2 is DOID:10588,False,"  {
""answer"": ""False""
}"
Disease ontology identifier for Marfan syndrome is DOID:0060055,False,"  {
""answer"": ""True""
}"
cystic fibrosis is a respiratory system disorder,True,"  {
""answer"": True
}"
alpha-Mannosidosis associates Gene MAN2B1,True,"  {
""answer"": ""True""
}"
Wolcott-Rallison syndrome associates Gene EIF2AK3,True,"  {
""answer"": ""True""
}"
Neurofibromatosis 2 is not associated with Gene NF2,False,"  Based on the provided context, the answer is:

{
""answer"": ""False""
}

Neurofibromatosis 2 (NF2) is a disease that is associated with the NF2 gene, as mentioned in the context. Therefore, the statement ""Neurofibromatosis 2 is not associated with Gene NF2"" is false."
Angelman syndrome is a syndromic disease,True,"  {
""answer"": ""True""
}"
colchicine treats familial mediterranean fever,True,"  {
""answer"": ""True""
}"
Marfan Syndrome associates Gene FBN1,True,"  {
""answer"": ""True""
}"
Mowat-Wilson syndrome is a syndromic intellectual disability,True,"  {
""answer"": ""True""
}"
mulibrey nanism is a syndromic disease,True,"  Sure, I'd be happy to help! Based on the context you provided, the answer to the question ""Is mulibrey nanism a syndromic disease?"" is:

{
""answer"": ""True""
}

Mulibrey nanism is a syndromic disease because it presents with a combination of symptoms affecting multiple systems, including the nervous system, cardiovascular system, liver, mouth, genitourinary system, hand, and movement. The symptoms include speech disorders, dysarthria, abnormality of the nervous system, cardiovascular system, liver, mouth, genitourinary system, and hand, among others. The disease is also known to be autosomal recessive, which further supports its classification as a syndromic disease."
Disease ontology identifier for pheochromocytoma is DOID:14692,False,"  {
""answer"": ""True""
}"
Tangier Disease is not associated with Gene ABCA1,False,"  {
""answer"": ""False""
}"
Disease ontology identifier for central diabetes insipidus is DOID:350,False,"  Sure! Based on the context you provided, the answer is:

{
  ""answer"": ""False""
}

The disease ontology identifier for central diabetes insipidus is DOID:0081055, not DOID:350."
Ulnar-mammary syndrome is not associated with Gene TBX3,False,"  {
""answer"": ""False""
}"
bevacizumab treats hereditary hemorrhagic telangiectasia,True,"  {
""answer"": ""True""
}"
Liver carcinoma is not associated with Gene MET,False,"  Sure, I'd be happy to help! Based on the context you provided, the answer is:

{
""answer"": ""False""
}

MET gene mutations have been associated with various types of cancer, including liver cancer, but not specifically with liver carcinoma."
Antithrombin III Deficiency is not associated with Gene SERPINC1,False,"  {
""answer"": ""False""
}"
Mastocytosis is not associated with Gene KIT,False,"  {
""answer"": ""False""
}"
Disease ontology identifier for Farber lipogranulomatosis is DOID:0050464,True,"  {
""answer"": ""True""
}"
Familial Mediterranean Fever associates Gene MEFV,True,"  {
""answer"": ""True""
}"
Disease ontology identifier for Wiskott-Aldrich syndrome is DOID:9169,True,"  {
""answer"": ""True""
}"
Tay-Sachs disease is not a eye degenerative disorder,False,"  Based on the provided context, the answer is:

{
""answer"": ""False""
}

Tay-Sachs disease is not an eye degenerative disorder."
ibuprofen treats cystic fibrosis,True,"  {
""answer"": False
}"
Juvenile Myoclonic Epilepsy is not associated with Gene EFHC1,False,"  {
""answer"": ""False""
}"
Costello syndrome (disorder) is not associated with Gene HRAS,False,"  {
""answer"": ""False""
}"
Very long chain acyl-CoA dehydrogenase deficiency is not associated with Gene ACADVL,False,"  Based on the provided Context, the answer is False. None of the variants mentioned are associated with Very long chain acyl-CoA dehydrogenase deficiency."
Wolman disease is a lysosomal acid lipase deficiency,True,"  {
""answer"": ""True""
}"
Fibrodysplasia Ossificans Progressiva associates Gene ACVR1,True,"  {
""answer"": ""True""
}"
Canavan Disease associates Gene ASPA,True,"  {
""answer"": ""True""
}"
